,nome,nos,arcos,a/g,gmax,gmin,max_fm,max_cmin,nreq,mreq,max_reqs,max_reqc,std_reqs,std_reqc,LB,obj,metodo,tempo,semente,GAP
1222,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criasemlim_ffd cm_fm,71.7330675125122,1000,0.03571428571428571
1223,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criasemlim_ffd fm_cm,71.7604022026062,1000,0.03571428571428571
1224,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd cm,71.55591893196106,1100,0.047619047619047616
1225,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,90,kapov_bfd fm,71.60394549369812,1100,0.07142857142857142
1226,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd cm_fm,71.6055760383606,1100,0.047619047619047616
1227,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd fm_cm,71.47060966491699,1100,0.047619047619047616
1228,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,kapov_ffd cm,71.90416646003723,1100,0.03571428571428571
1229,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,kapov_ffd fm,72.04284310340881,1100,0.05952380952380952
1230,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,kapov_ffd cm_fm,71.87639856338501,1100,0.03571428571428571
1231,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,kapov_ffd fm_cm,71.89199542999268,1100,0.03571428571428571
1232,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd cm,71.25513124465942,1100,0.05952380952380952
1233,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,90,criaantes_bfd fm,71.94666981697083,1100,0.07142857142857142
1234,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd cm_fm,71.05571413040161,1100,0.05952380952380952
1235,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_bfd fm_cm,71.1602931022644,1100,0.05952380952380952
1236,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criaantes_ffd cm,71.6516969203949,1100,0.03571428571428571
1237,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criaantes_ffd fm,71.7691478729248,1100,0.05952380952380952
1238,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criaantes_ffd cm_fm,71.76111626625061,1100,0.03571428571428571
1239,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criaantes_ffd fm_cm,71.86655569076538,1100,0.03571428571428571
1240,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd cm,71.99574613571167,1100,0.047619047619047616
1241,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,90,criasemlim_bfd fm,72.01347804069519,1100,0.07142857142857142
1242,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd cm_fm,72.14635062217712,1100,0.047619047619047616
1243,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,criasemlim_bfd fm_cm,72.08951330184937,1100,0.047619047619047616
1244,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criasemlim_ffd cm,71.65063524246216,1100,0.03571428571428571
1245,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,criasemlim_ffd fm,71.66675639152527,1100,0.05952380952380952
1246,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criasemlim_ffd cm_fm,71.74751925468445,1100,0.03571428571428571
1247,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,87,criasemlim_ffd fm_cm,71.66181325912476,1100,0.03571428571428571
1248,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd cm,71.66801881790161,1200,0.047619047619047616
1249,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,89,kapov_bfd fm,72.61851000785828,1200,0.05952380952380952
1250,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd cm_fm,71.76003503799438,1200,0.047619047619047616
1251,mesh6x17.40,102,408,4.0,8,8,4,11,3894,38.1764705882353,48,49,7.061836864100302,7.232232259788289,84,88,kapov_bfd fm_cm,71.85116767883301,1200,0.047619047619047616
